TotalScore,TotalLevelsCrossed,TotalEnemiesKilled,TotalTimeRequired
1400.0,7,23,6.58
710.0,3,11,5.34
600.0,3,11,7.74
1580.0,6,30,7.75
250.0,3,4,1.06
810.0,4,14,4.27
850.0,4,16,7.77
460.0,3,7,3.39
1460.0,6,27,6.47
600.0,3,11,7.62
450.0,3,8,2.03
600.0,4,11,7.06
400.0,3,7,1.18
850.0,4,16,7.95
680.0,4,11,4.29
810.0,3,14,5.57
650.0,3,12,2.09
650.0,3,12,2.72
1310.0,6,24,6.82
900.0,4,17,4.62
600.0,3,11,1.76
450.0,2,8,7.66
800.0,4,15,3.48
500.0,3,9,1.52
760.0,4,13,1.88
350.0,3,6,1.13
1200.0,6,21,7.45
710.0,3,12,1.86
300.0,3,5,1.19
660.0,3,11,2.46
1240.0,5,20,7.74
1540.0,7,29,5.26
600.0,3,11,2.65
450.0,3,8,1.09
500.0,3,9,7.76
400.0,3,7,1.33
750.0,4,14,5.89
1300.0,5,23,5.13
1350.0,6,24,4.82
540.0,3,9,2.21
870.0,3,13,2.25
750.0,3,14,3.36
740.0,4,13,7.53
1310.0,6,24,4.14
700.0,4,11,7.5
750.0,4,14,4.03
550.0,3,10,1.22
700.0,3,13,5.49
1210.0,5,22,4.59
610.0,3,10,7.28
550.0,2,10,7.57
550.0,3,10,6.1
750.0,3,14,2.09
350.0,3,6,1.18
750.0,3,14,2.06
770.0,3,13,4.1
750.0,4,14,4.61
350.0,3,6,1.52
350.0,3,6,1.17
600.0,2,11,7.53
1380.0,6,26,7.59
930.0,5,17,7.77
760.0,3,13,3.81
910.0,4,16,4.56
510.0,3,8,1.49
610.0,3,10,3.09
920.0,5,16,3.7
600.0,3,11,2.29
350.0,2,6,7.54
650.0,4,12,1.67
750.0,4,14,3.64
250.0,1,4,7.96
450.0,2,8,7.66
500.0,3,9,1.14
850.0,4,16,2.59
660.0,3,11,6.75
1360.0,6,25,4.93
1290.0,5,23,4.59
450.0,4,8,1.59
1370.0,5,24,5.5
450.0,3,8,1.09
850.0,5,16,7.69
350.0,3,6,1.31
710.0,3,12,3.36
300.0,3,5,0.81
250.0,3,4,1.11
550.0,3,10,1.65
400.0,3,7,0.94
350.0,3,6,1.07
750.0,4,14,6.03
1870.0,7,34,7.67
600.0,4,11,1.9
950.0,4,18,4.1
1360.0,6,25,3.19
250.0,3,4,1.18
670.0,3,11,3.41
450.0,3,8,1.19
350.0,3,6,1.03
940.0,5,17,6.42
500.0,3,9,7.74
750.0,3,14,1.76
1550.0,8,30,6.24
400.0,3,7,1.62
650.0,3,12,2.31
790.0,3,14,3.38
810.0,4,14,2.19
870.0,3,15,3.81
890.0,4,16,3.57
350.0,3,6,1.06
300.0,3,5,1.05
450.0,3,8,1.1
450.0,3,8,2.25
710.0,3,12,2.79
1420.0,5,26,4.47
1560.0,7,29,5.33
550.0,2,10,7.72
850.0,4,16,6.11
550.0,3,10,1.89
550.0,3,10,2.75
1620.0,7,28,4.98
350.0,3,6,1.14
700.0,3,13,3.3
300.0,3,5,0.81
200.0,3,3,1.13
860.0,3,15,7.78
700.0,3,13,5.79
860.0,3,15,1.94
1280.0,6,24,6.44
750.0,4,14,2.16
950.0,4,18,7.78
800.0,4,15,2.34
350.0,3,6,0.92
350.0,3,6,1.32
250.0,3,4,1.26
710.0,3,12,2.82
910.0,3,16,7.87
970.0,5,17,6.43
1400.0,7,25,5.78
1380.0,4,24,7.78
440.0,3,7,5.04
1360.0,6,25,4.89
750.0,4,14,2.02
400.0,3,7,1.02
1400.0,6,27,7.64
860.0,3,15,3.63
750.0,3,12,2.59
1370.0,5,25,4.84
800.0,3,15,4.84
650.0,3,12,7.63
650.0,2,12,7.54
650.0,3,12,3.23
700.0,4,11,3.26
550.0,3,10,1.9
550.0,3,10,1.33
550.0,3,10,1.18
1150.0,6,22,4.61
600.0,3,11,2.6
850.0,4,16,2.9
950.0,4,18,2.02
750.0,4,14,4.45
700.0,3,13,4.78
350.0,3,6,2.37
400.0,3,7,1.36
390.0,3,6,2.07
640.0,4,11,4.25
1100.0,6,21,3.04
870.0,3,14,3.45
500.0,3,9,1.76
300.0,3,5,1.38
500.0,3,9,1.24
550.0,3,10,1.43
760.0,3,13,5.56
500.0,3,9,1.63
500.0,3,9,2.61
700.0,3,13,2.65
1400.0,6,25,3.84
450.0,3,8,2.08
1160.0,5,21,3.38
400.0,3,7,1.23
610.0,3,10,5.36
1090.0,4,20,7.76
900.0,4,17,4.57
200.0,3,3,0.91
400.0,3,7,0.98
620.0,3,10,4.1
560.0,3,9,7.68
400.0,3,7,1.73
900.0,3,15,5.97
860.0,3,15,5.4
550.0,3,10,1.55
450.0,3,8,1.62
550.0,3,10,2.64
700.0,3,13,5.07
820.0,4,14,7.78
1260.0,6,22,4.58
